Class,Level
program,
sourceElement,
statement,
block,
statementList,
importStatement,B1
importFromBlock,
moduleItems,
importDefault,
importNamespace,
importFrom,
aliasName,
exportStatement,B1
exportFromBlock,
declaration,
variableStatement,
variableDeclarationList,
variableDeclaration,A1
emptyStatement_,
expressionStatement,
ifStatement,A1
iterationStatement,A1
varModifier,A1
continueStatement,A1
breakStatement,A1
returnStatement,A1
yieldStatement,
withStatement,
switchStatement,A1
caseBlock,
caseClauses,
caseClause,
defaultClause,
labelledStatement,A2
throwStatement,A2
tryStatement,A2
catchProduction,
finallyProduction,A2
debuggerStatement,
functionDeclaration,
classDeclaration,B2
classTail,
classElement,
methodDefinition,
formalParameterList,A1
formalParameterArg,
lastFormalParameterArg,
functionBody,
sourceElements,
arrayLiteral,A1
elementList,
arrayElement,
propertyAssignment,B1
propertyName,
arguments,A2
argument,
expressionSequence,
singleExpression,
assignable,
objectLiteral,A1
anonymousFunction,A1
arrowFunctionParameters,A1
arrowFunctionBody,
assignmentOperator,A1
literal,
templateStringLiteral,
templateStringAtom,
numericLiteral,
bigintLiteral,A2
getter,B1
setter,B1
identifierName,
identifier,
reservedWord,B1
keyword,
let_,
eos,
querySelector,A1
textContent,A1
alert,A1
addEventListener,A1
removeEventListener,A1
setAttribute,A1
localStorage,A1
Math,A1
foreach,A1
focus,A1
toFixed,A1
Number,A1
length,A1
include,A1
startWith,A1
endWith,A1
indexOf,A1
slice,A1
toUpperCase,A1
toLowerCase,A1
replace,A1
replaceAll,A1
push,A1
unshift,A1
pop,A1
shift,A1
splice,A1
split,A1
join,A1
toString,A1
stopPropagation,A1
parseInt,A2
parseFloat,A2
SyntaxError,A2
ReferenceError,A2
TypeError,A2
EvalError,A2
RangeError,A2
URIError,A2
InternalError,A2
message,A2
Date,A2
Map,A2
Set,A2
map,A2
filter,A2
Constructor,A2
Object,A2
then,B2
fetch,B2
XMLHttpRequest,B2
canvas,B2
THREE,B2
cookie,B2
sessionStorage,B2
indexedDB,B2
appendChild,B2
remove,B2
Reflect,B2
Array.prototype,A2
Promise.all,B2
Object.is,C1
Proxy.revocable,C2
FileReader.prototype.readAsArrayBuffer,C2
XMLHttpRequest.prototype.send,C2
ImageData.data,C2
prototype,B2
style,B2
WeakRef,C2
FinalizationRegistry,C2
ternaryExpression,A1
forInStatement,A2
ForOfStatement,A2
deleteExpression,B1
memberDotExpression,B1
memberIndexExpression,A1
static,B2
additiveExpression,A1
multiplicativeExpression,A1
equalityExpression,A1
typeofExpression,A1
preIncrementExpression,A1
postIncrementExpression,A1
prompt,A1
logicalAndExpression,A1
logicalOrExpression,A1
lastFormalParameterArg,A2
inExpression,A2
instanceofExpression,A2
RegExp,A2
exportDefaultDeclaration,B1
thisExpression,B1
asyncExpression,B2
awaitExpression,B2
Proxy,C2
elementList,A2
floatLiteral,A1
stringLiteral,A1
exponentialLiteral,A2
aggregatingModuleExpression,B1
defaultParameter,C1
valueProperty,C1
writableProperty,C1
enumerableProperty,C1
configurableProperty,C1
getProperty,C1
setProperty,C1
functionWithExpression,A2
createModule,A2
argsParameter,C1